X	Y	Z	influencia	Az
4407491.582	7472885.23	-3283.086414	0.010507	354.2
4407561.102	7472885.23	-3277.960813	0.010733	354.2
4407630.623	7472885.23	-3273.208702	0.010972	354.2
4407700.143	7472885.23	-3268.709241	0.011226	354.2
4407769.664	7472885.23	-3264.298274	0.011497	354.2
4407839.184	7472885.23	-3259.818593	0.011786	354.2
4407908.705	7472885.23	-3255.199373	0.012095	354.2
4407978.225	7472885.23	-3250.519153	0.012427	354.2
4408047.746	7472885.23	-3246.003699	0.012784	354.2
4408117.267	7472885.23	-3241.943314	0.013169	354.2
4408186.787	7472885.23	-3238.576566	0.013588	354.2
4408256.308	7472885.23	-3236.015729	0.014044	354.2
4408325.828	7472885.23	-3234.241618	0.014543	354.2
4408395.349	7472885.23	-3233.135338	0.015092	354.2
4408464.869	7472885.23	-3232.514575	0.0157	354.2
4408534.39	7472885.23	-3232.173386	0.016379	354.2
4408603.91	7472885.23	-3231.927752	0.017142	354.2
4408673.431	7472885.23	-3231.651584	0.018007	354.2
4408742.951	7472885.23	-3231.285766	0.019	354.2
4408812.472	7472885.23	-3230.819662	0.020154	354.2
4408881.993	7472885.23	-3230.260236	0.021515	354.2
4408951.513	7472885.23	-3229.607919	0.023153	354.2
4409021.034	7472885.23	-3228.852116	0.025173	354.2
4409090.554	7472885.23	-3227.986926	0.027742	354.2
4409160.075	7472885.23	-3227.036394	0.031155	354.2
4409229.595	7472885.23	-3226.077564	0.03598	354.2
4409299.116	7472885.23	-3225.261676	0.043502	354.2
4409368.636	7472885.23	-3224.84359	0.057517	354.2
4409438.157	7472885.23	-3225.225967	0.0986	354.2
4409507.677	7472885.23	nan	0.15805	354.2
4409577.198	7472885.23	nan	0.066853	354.2
4409646.719	7472885.23	nan	0.047596	354.2
4409716.239	7472885.23	nan	0.038366	354.2
4409785.76	7472885.23	nan	0.03275	354.2
4409855.28	7472885.23	nan	0.028898	354.2
4409924.801	7472885.23	nan	0.026057	354.2
4409994.321	7472885.23	nan	0.023857	354.2
4410063.842	7472885.23	nan	0.022091	354.2
4410133.362	7472885.23	nan	0.020636	354.2
4410202.883	7472885.23	nan	0.019411	354.2
4410272.404	7472885.23	nan	0.018362	354.2
4410341.924	7472885.23	nan	0.017452	354.2
4410411.445	7472885.23	nan	0.016654	354.2
4410480.965	7472885.23	nan	0.015945	354.2
4410550.486	7472885.23	nan	0.015312	354.2
4410620.006	7472885.23	nan	0.014742	354.2
4410689.527	7472885.23	nan	0.014225	354.2
4410759.047	7472885.23	nan	0.013754	354.2
4410828.568	7472885.23	nan	0.013322	354.2
4410898.088	7472885.23	nan	0.012924	354.2
4410967.609	7472885.23	nan	0.012557	354.2
4411037.13	7472885.23	nan	0.012216	354.2
4411106.65	7472885.23	nan	0.011899	354.2
4411176.171	7472885.23	nan	0.011603	354.2
4411245.691	7472885.23	nan	0.011326	354.2
4411315.212	7472885.23	nan	0.011065	354.2
4411384.732	7472885.23	nan	0.010821	354.2
4411454.253	7472885.23	nan	0.01059	354.2
4411523.773	7472885.23	nan	0.010371	354.2
4411593.294	7472885.23	nan	0.010165	354.2
4411662.814	7472885.23	nan	0.009969	354.2
4411732.335	7472885.23	nan	0.009782	354.2
4411801.856	7472885.23	nan	0.009605	354.2
4411871.376	7472885.23	nan	0.009436	354.2
4411940.897	7472885.23	nan	0.009275	354.2
4412010.417	7472885.23	nan	0.009121	354.2
4412079.938	7472885.23	nan	0.008973	354.2
4412149.458	7472885.23	nan	0.008832	354.2
4412218.979	7472885.23	nan	0.008697	354.2
