X Y Z K_gauss trend plunge
4400539.527 7473064.339 -6059.915702 -7.99E-11 265.789 75.965
4400609.047 7473064.339 -6042.72246 -9.35E-11 265.978 75.658
4400678.568 7473064.339 -6025.060391 -1.06E-10 266.169 75.326
4400748.088 7473064.339 -6006.892584 -1.18E-10 266.36 74.968
4400817.609 7473064.339 -5988.203419 -1.29E-10 266.551 74.582
4400887.13 7473064.339 -5968.99121 -1.40E-10 266.741 74.164
4400956.65 7473064.339 -5949.257066 -1.49E-10 266.93 73.715
4401026.171 7473064.339 -5928.993916 -1.57E-10 267.117 73.23
4401095.691 7473064.339 -5908.182795 -1.63E-10 267.303 72.711
4401165.212 7473064.339 -5886.794166 -1.66E-10 267.486 72.155
4401234.732 7473064.339 -5864.78145 -1.67E-10 267.667 71.563
4401304.253 7473064.339 -5842.067803 -1.65E-10 267.846 70.934
4401373.773 7473064.339 -5818.547173 -1.61E-10 268.022 70.27
4401443.294 7473064.339 -5794.107672 -1.52E-10 268.195 69.574
4401512.814 7473064.339 -5768.655058 -1.40E-10 268.365 68.85
4401582.335 7473064.339 -5742.116902 -1.21E-10 268.529 68.107
4401651.856 7473064.339 -5714.434538 -9.46E-11 268.687 67.355
4401721.376 7473064.339 -5685.552859 -5.93E-11 268.836 66.605
4401790.897 7473064.339 -5655.407293 -1.62E-11 268.974 65.868
4401860.417 7473064.339 -5623.918944 3.14E-11 269.1 65.154
4401929.938 7473064.339 -5591.018061 7.85E-11 269.213 64.47
4401999.458 7473064.339 -5556.689612 1.20E-10 269.312 63.821
4402068.979 7473064.339 -5521.011262 1.52E-10 269.398 63.212
4402138.499 7473064.339 -5484.167878 1.73E-10 269.472 62.645
4402208.02 7473064.339 -5446.440961 1.85E-10 269.535 62.122
4402277.54 7473064.339 -5408.161736 1.87E-10 269.588 61.643
4402347.061 7473064.339 -5369.621948 1.84E-10 269.632 61.207
4402416.582 7473064.339 -5330.973942 1.76E-10 269.667 60.812
4402486.102 7473064.339 -5292.177085 1.65E-10 269.696 60.455
4402555.623 7473064.339 -5253.026933 1.54E-10 269.717 60.134
4402625.143 7473064.339 -5213.25871 1.43E-10 269.732 59.845
4402694.664 7473064.339 -5172.681739 1.32E-10 269.741 59.583
4402764.184 7473064.339 -5131.277346 1.21E-10 269.742 59.343
4402833.705 7473064.339 -5089.195059 1.10E-10 269.736 59.123
4402903.225 7473064.339 -5046.64874 9.72E-11 269.722 58.919
4402972.746 7473064.339 -5003.799689 8.27E-11 269.698 58.731
4403042.267 7473064.339 -4960.711753 6.53E-11 269.666 58.561
4403111.787 7473064.339 -4917.38068 4.47E-11 269.623 58.414
4403181.308 7473064.339 -4873.785928 2.12E-11 269.571 58.295
4403250.828 7473064.339 -4829.927505 -4.37E-12 269.51 58.211
4403320.349 7473064.339 -4785.84087 -3.08E-11 269.441 58.168
4403389.869 7473064.339 -4741.595385 -5.74E-11 269.362 58.169
4403459.39 7473064.339 -4697.285026 -8.43E-11 269.276 58.216
4403528.91 7473064.339 -4653.02006 -1.13E-10 269.18 58.31
4403598.431 7473064.339 -4608.923688 -1.45E-10 269.074 58.449
4403667.951 7473064.339 -4565.132005 -1.84E-10 268.958 58.63
4403737.472 7473064.339 -4521.791256 -2.29E-10 268.83 58.849
4403806.993 7473064.339 -4479.046632 -2.82E-10 268.689 59.102
4403876.513 7473064.339 -4437.025124 -3.39E-10 268.537 59.381
4403946.034 7473064.339 -4395.820722 -3.97E-10 268.373 59.68
4404015.554 7473064.339 -4355.483418 -4.51E-10 268.199 59.992
4404085.075 7473064.339 -4316.00961 -4.95E-10 268.015 60.313
4404154.595 7473064.339 -4277.341454 -5.24E-10 267.825 60.641
4404224.116 7473064.339 -4239.383185 -5.33E-10 267.631 60.976
4404293.636 7473064.339 -4202.022607 -5.19E-10 267.435 61.321
4404363.157 7473064.339 -4165.136424 -4.81E-10 267.241 61.679
4404432.677 7473064.339 -4128.579453 -4.22E-10 267.049 62.053
4404502.198 7473064.339 -4092.187109 -3.45E-10 266.862 62.448
4404571.719 7473064.339 -4055.821468 -2.57E-10 266.679 62.866
4404641.239 7473064.339 -4019.450814 -1.64E-10 266.499 63.308
4404710.76 7473064.339 -3983.20471 -7.44E-11 266.322 63.775
4404780.28 7473064.339 -3947.351818 8.69E-12 266.146 64.27
4404849.801 7473064.339 -3912.212832 8.27E-11 265.972 64.792
4404919.321 7473064.339 -3878.073442 1.47E-10 265.798 65.345
4404988.842 7473064.339 -3845.147079 2.04E-10 265.627 65.93
4405058.362 7473064.339 -3813.57998 2.57E-10 265.46 66.552
4405127.883 7473064.339 -3783.45586 3.08E-10 265.3 67.215
4405197.404 7473064.339 -3754.779171 3.60E-10 265.151 67.923
4405266.924 7473064.339 -3727.461376 4.13E-10 265.015 68.676
4405336.445 7473064.339 -3701.341698 4.68E-10 264.898 69.469
4405405.965 7473064.339 -3676.240304 5.21E-10 264.805 70.292
4405475.486 7473064.339 -3652.018508 5.66E-10 264.742 71.128
4405545.006 7473064.339 -3628.624946 5.96E-10 264.714 71.96
4405614.527 7473064.339 -3606.114279 6.02E-10 264.727 72.771
4405684.047 7473064.339 -3584.631162 5.77E-10 264.786 73.55
4405753.568 7473064.339 -3564.366476 5.12E-10 264.892 74.292
4405823.088 7473064.339 -3545.499006 4.04E-10 265.045 74.994
4405892.609 7473064.339 -3528.124883 2.53E-10 265.245 75.661
4405962.13 7473064.339 -3512.182767 6.86E-11 265.489 76.296
4406031.65 7473064.339 -3497.414618 -1.35E-10 265.778 76.906
4406101.171 7473064.339 -3483.408139 -3.37E-10 266.113 77.491
4406170.691 7473064.339 -3469.719983 -5.15E-10 266.498 78.052
4406240.212 7473064.339 -3456.022591 -6.52E-10 266.939 78.587
4406309.732 7473064.339 -3442.200297 -7.33E-10 267.444 79.09
4406379.253 7473064.339 -3428.35219 -7.52E-10 268.019 79.558
4406448.773 7473064.339 -3414.715743 -7.13E-10 268.667 79.989
4406518.294 7473064.339 -3401.564267 -6.24E-10 269.387 80.387
4406587.814 7473064.339 -3389.131569 -4.99E-10 270.173 80.761
4406657.335 7473064.339 -3377.584552 -3.57E-10 271.016 81.122
4406726.856 7473064.339 -3367.018645 -2.16E-10 271.911 81.484
4406796.376 7473064.339 -3357.436993 -8.81E-11 272.856 81.858
4406865.897 7473064.339 -3348.718915 1.86E-11 273.856 82.248
4406935.417 7473064.339 -3340.631642 1.02E-10 274.919 82.652
4407004.938 7473064.339 -3332.915678 1.63E-10 276.054 83.063
4407074.458 7473064.339 -3325.397966 2.04E-10 277.265 83.469
